State,Eggs,Peanuts,Shellfish,Seeds,Other
Alabama,0.0099,0.0303,0.0111,0.0209,0.0995
Alaska,0.0053,0.0117,0.0067,0.0147,0.3878
Arizona,0.0168,0.0331,0.0078,0.0429,0.1962
Arkansas,0.0206,0.0385,0.0123,0.0320,0.1992
California,0.0118,0.0425,0.0109,0.0405,0.2965
Colorado,0.0207,0.0439,0.0107,0.0610,0.2157
Connecticut,0.0257,0.0140,0.1201,0.0612,0.2530
Delaware,0.0245,0.0566,0.0316,0.0613,0.2057
District of Columbia,0.0076,0.0155,0.0114,0.0165,0.2126
Florida,0.0078,0.0164,0.0110,0.0169,0.1274
Georgia,0.0185,0.0408,0.0149,0.0388,0.2794
Hawaii,0.0110,0.0217,0.0100,0.0375,0.1859
Idaho,0.0237,0.0167,0.0897,0.0691,0.1456
Illinois,0.0151,0.0086,0.0381,0.0461,0.2783
Indiana,0.0111,0.0223,0.0078,0.0245,0.1348
Iowa,0.0178,0.0123,0.0825,0.0256,0.0904
Kansas,0.0057,0.0187,0.0044,0.0149,0.1301
Kentucky,0.0042,0.0140,0.0056,0.0113,0.1556
Louisiana,0.0034,0.0069,0.0044,0.0042,0.0861
Maine,0.0067,0.0163,0.0053,0.0226,0.1416
Maryland,0.0308,0.0501,0.0177,0.0698,0.1603
Massachusetts,0.0081,0.0160,0.0069,0.0249,0.1397
Michigan,0.0263,0.0604,0.0134,0.0704,0.2664
Minnesota,0.0150,0.0091,0.0409,0.0344,0.2421
Mississippi,0.0098,0.0224,0.0141,0.0200,0.0928
Missouri,0.0047,0.0138,0.0054,0.0121,0.1430
Montana,0.0039,0.0183,0.0080,0.0132,0.1725
Nebraska,0.0031,0.0161,0.0032,0.0137,0.1544
Nevada,0.0097,0.0351,0.0117,0.0378,0.1843
New Hampshire,0.0014,0.0091,0.0024,0.0072,0.0856
New Jersey,0.0248,0.0562,0.0195,0.0852,0.2694
New Mexico,0.0092,0.0243,0.0050,0.0247,0.1096
New York,0.0172,0.0466,0.0180,0.0618,0.3331
North Carolina,0.0289,0.0590,0.0232,0.0752,0.5237
North Dakota,0.0009,0.0008,0.0038,0.0033,0.0766
Ohio,0.0155,0.0360,0.0103,0.0360,0.1865
Oklahoma,0.0118,0.0053,0.0230,0.0200,0.2097
Oregon,0.0261,0.0649,0.0140,0.0688,0.2231
Pennsylvania,0.0224,0.0377,0.0151,0.0505,0.1647
Rhode Island,0.0071,0.0144,0.0104,0.0207,0.2433
South Carolina,0.0068,0.0192,0.0083,0.0153,0.1043
South Dakota,0.0059,0.0044,0.0166,0.0215,0.1537
Tennessee,0.0091,0.0172,0.0058,0.0171,0.1294
Texas,0.0164,0.0321,0.0094,0.0285,0.1735
Utah,0.0354,0.0194,0.0912,0.0858,0.1580
Vermont,0.0070,0.0061,0.0277,0.0413,0.1100
Virginia,0.0139,0.0286,0.0092,0.0353,0.1708
Washington,0.0607,0.1044,0.0298,0.1652,0.2673
West Virginia,0.0062,0.0216,0.0104,0.0202,0.2156
Wisconsin,0.0051,0.0162,0.0045,0.0199,0.2203
Wyoming,0.0009,0.0053,0.0039,0.0110,0.0670

