,City,State,Score,Rank,Lat,Lon
0,Wichita,KS,100.0,1,37.6872,-97.3301
1,New Orleans,LA,86.81,2,29.9511,-90.0715
2,Oklahoma City,OK,86.05,3,35.4676,-97.5164
3,Tulsa,OK,84.16,4,36.15398,-95.99277
4,Memphis,TN,83.5,5,35.1495,-90.049
5,Little Rock,AR,82.94,6,34.7465,-92.2896
6,Raleigh,NC,82.87,7,35.7796,-78.6382
7,Richmond,VA,82.8,8,37.5407,-77.436
8,Greenville,SC,82.74,9,34.8526,-82.394
9,Greensboro,NC,82.08,10,36.0726,-79.792
10,Virginia Beach,VA,80.39,11,36.8529,-75.978
11,Augusta,GA,80.37,12,33.4735,-82.0105
12,Dallas,TX,80.19,13,32.7767,-96.797
13,Baton Rouge,LA,79.57,14,30.4515,-91.1871
14,Winston-Salem,NC,78.98,15,36.0999,-80.2442
15,Chattanooga,TN,77.76,16,35.0456,-85.3097
16,Knoxville,TN,77.59,17,35.9606,-83.9207
17,Charlotte,NC,76.98,18,35.2271,-80.8431
18,Scranton,PA,76.79,19,41.4089,-75.6624
19,Jacksonville,FL,76.44,20,30.3322,-81.6557
20,Bakersfield,CA,76.24,21,35.3733,-119.0187
21,Sarasota,FL,76.17,22,27.3364,-82.5307
22,Sacramento,CA,76.07,23,38.5816,-121.4944
23,Stockton,CA,75.69,24,37.9577,-121.2908
24,Tampa,FL,75.42,25,27.9506,-82.4572
25,Houston,TX,75.39,26,29.7604,-95.3698
26,McAllen,TX,75.31,27,26.2034,-98.23
27,Fresno,CA,75.19,28,36.7378,-119.7871
28,Nashville,TN,74.98,29,36.1627,-86.7816
29,Lakeland,FL,74.5,30,28.0395,-81.9498
30,Palm Bay,FL,74.23,31,28.0345,-80.5887
31,Des Moines,IA,74.07,32,41.5868,-93.625
32,Oxnard,CA,74.03,33,34.1975,-119.1771
33,Orlando,FL,73.76,34,28.5383,-81.3792
34,Durham,NC,73.65,35,35.994,-78.8986
35,Fayetteville,AR,73.58,36,36.0822,-94.1719
36,San Antonio,TX,73.5,37,29.4241,-98.4936
37,Las Vegas,NV,73.29,38,36.1699,-115.1398
38,Birmingham,AL,73.29,39,33.5186,-86.8104
39,Atlanta,GA,73.19,40,33.749,-84.388
40,San Jose,CA,73.15,41,37.3382,-121.8863
41,New Haven,CT,72.9,42,41.3083,-72.9279
42,Cape Coral,FL,72.2,43,26.5629,-81.9495
43,Columbia,SC,71.75,44,34.0007,-81.0348
44,Austin,TX,71.51,45,30.2672,-97.7431
45,Riverside,CA,71.11,46,33.9806,-117.3755
46,Daytona Beach,FL,70.82,47,29.2108,-81.0228
47,Columbus,OH,70.59,48,39.9612,-82.9988
48,Toledo,OH,69.67,49,41.6528,-83.5379
49,El Paso,TX,69.62,50,31.7619,-106.485
